NP,Topic,Descripción,Palabras Claves y su Probabilidad
1,Solicitud de Información sobre Presuntas Violaciones en Diciembre,"Este tópico parece centrarse en solicitudes de información relacionadas con presuntas violaciones o irregularidades que ocurrieron en diciembre. Los términos clave incluyen ""diciembre"", ""presuntas violaciones"", ""estatal"", ""sistema"", ""oficio"", ""periodo"", ""gasto"", ""cometida"" y ""mensualmente cuánta"". Los solicitantes parecen estar interesados en obtener información específica sobre eventos o actividades que ocurrieron durante diciembre y que podrían estar relacionados con violaciones o irregularidades en el ámbito estatal. También se mencionan términos como ""comité"" y ""nacional"", lo que sugiere que estas solicitudes pueden estar relacionadas con investigaciones o informes a nivel nacional o federal.","diciembre (0.0840), tall (0.0480), cualquier (0.0290), presuntas_violacione (0.0260), estatal (0.0230), sistema (0.0220), realizar (0.0160), oficio (0.0140), periodo (0.0140), gasto (0.0120), formulado_dentro (0.0120), cometida (0.0110), mensualmente_cuanta (0.0110), comité (0.0100), nacional (0.0090), federal (0.0090), recursos (0.0080), evento (0.0080), actividade (0.0070), ejercicio (0.0060), secretaría (0.0050), desarrollo (0.0050), reporte (0.0050), rede (0.0050), proyecto (0.0050), adiccione (0.0040), municipale (0.0040), local (0.0040), fiscal (0.0040), lengua (0.0040),"
2,Solicitud de Acceso a Plataforma Nacional de Información,"Este tópico se enfoca en solicitudes de acceso a información a través de una plataforma nacional. Los términos clave incluyen ""información"", ""nacional"", ""plataforma"", ""caso"", ""link"", ""descargarlo"" y ""página https"". Los solicitantes buscan acceso a información específica a través de una plataforma en línea y mencionan términos como ""derecho"" y ""contenido"", lo que indica un interés en ejercer su derecho de acceso a la información. También se mencionan términos como ""geoportal Mérida"" y ""normatividad aplicable"", lo que sugiere que estas solicitudes pueden estar relacionadas con datos geoespaciales o regulaciones relacionadas con la plataforma.","información (0.0740), pueda (0.0680), nacional (0.0670), plataforma (0.0540), caso (0.0490), travé (0.0450), link (0.0410), descargarlo (0.0400), página_https (0.0400), capa (0.0400), ser (0.0400), siguiente (0.0370), proporcionar (0.0350), nube (0.0350), acceso (0.0280), derecho (0.0280), cualquiera (0.0100), contenido (0.0100), artículo (0.0090), contenga (0.0070), contenida (0.0050), mapa_publicado (0.0050), basis (0.0040), proporcione (0.0040), geoportal_merida (0.0030), límite (0.0030), regional (0.0020), constitucional (0.0020), normatividad_aplicable (0.0020), importe (0.0020),"
3,Solicitud de Información sobre Instalación de Cancha de Fútbol Siete,"Este tópico se refiere a solicitudes de información relacionadas con la instalación de una cancha de fútbol siete. Los términos clave incluyen ""cancha"", ""requiero"", ""oficina"", ""obra"", ""documento"", ""promovente"", ""logo"" y ""variantes modificaciones"". Los solicitantes buscan información sobre los procedimientos, autorizaciones y detalles relacionados con la construcción de una cancha de fútbol siete. También se mencionan términos como ""derechos reservados"" y ""autor intelectual"", lo que sugiere un interés en la propiedad intelectual relacionada con el proyecto. Estas solicitudes pueden estar relacionadas con aspectos legales y técnicos de la instalación de la cancha.","cancha (0.0750), requiero (0.0590), oficina (0.0540), obra (0.0490), documento (0.0420), siguiente (0.0340), cualquier (0.0300), entregue (0.0260), información (0.0260), oficiale (0.0250), promovente (0.0250), considerada (0.0250), contestacione (0.0250), logo (0.0250), variantes_modificacione (0.0250), derechos_reservado (0.0250), avalado (0.0250), duda_aclaracion (0.0250), autor_intelectual (0.0240), antonio (0.0240), diferentes_acepcione (0.0240), derecho (0.0240), responsable (0.0220), particulare (0.0210), ser (0.0190), cuale (0.0070), persona (0.0050), conforme (0.0020), futbol_siete (0.0020), administracion (0.0020)"
4,Solicitud de Información sobre Cancha y Propiedad Intelectual,"Este tópico gira en torno a solicitudes de información relacionadas con una cancha y temas de propiedad intelectual. Los términos clave incluyen ""cancha"", ""requiero"", ""oficina"", ""obra"", ""documento"", ""promovente"", ""logo"", ""variantes modificaciones"", ""derechos reservados"", ""avalado"" y ""autor intelectual"". Los solicitantes buscan información específica sobre la construcción o modificación de una cancha, incluidos aspectos legales relacionados con los derechos de autor y la propiedad intelectual. También se mencionan términos como ""particulares"" y ""responsable"", lo que sugiere que estas solicitudes pueden estar relacionadas con la responsabilidad de personas específicas o entidades en el proyecto de la cancha.","cancha (0.0750), requiero (0.0590), oficina (0.0540), obra (0.0490), documento (0.0420), siguiente (0.0340), cualquier (0.0300), entregue (0.0260), información (0.0260), oficiale (0.0250), promovente (0.0250), considerada (0.0250), contestacione (0.0250), logo (0.0250), variantes_modificacione (0.0250), derechos_reservado (0.0250), avalado (0.0250), duda_aclaracion (0.0250), autor_intelectual (0.0240), antonio (0.0240), diferentes_acepcione (0.0240), derecho (0.0240), responsable (0.0220), particulare (0.0210), ser (0.0190), cuale (0.0070), persona (0.0050), conforme (0.0020), futbol_siete (0.0020), administracion (0.0020),"
5,Solicitud de Información sobre Responsabilidades y Licencias,"Este tópico se enfoca en solicitudes de información relacionadas con responsabilidades y licencias. Los términos clave incluyen ""persona"", ""responsable"", ""licencia"", ""correo"", ""organismo"", ""otorgado"" y ""razones"". Los solicitantes buscan información sobre la asignación de licencias y responsabilidades, posiblemente en el contexto de un restaurante u otro tipo de establecimiento. También se mencionan términos como ""grupo"" y ""particulares"", lo que sugiere un interés en la regulación y el funcionamiento de estos establecimientos.","persona (0.1080), responsable (0.0570), peto (0.0180), sexo (0.0180), municipio (0.0140), referente (0.0140), corresponde (0.0130), restaurante (0.0110), física_moral (0.0110), licencia (0.0110), correo (0.0110), organismo (0.0100), progreso (0.0100), anexo (0.0090), otorgado (0.0090), razone (0.0090), derivado (0.0080), grupo (0.0080), particulare (0.0070), do (0.0070), solicitó (0.0060), oficial (0.0060), desentralizado (0.0040), progresiva (0.0040), sección (0.0040), denominado (0.0040), electrónico (0.0040), publico (0.0040), instalacione (0.0040), funcione (0.0040),"
6,Solicitud de Información sobre Números y Reportes,"Este tópico se centra en solicitudes de información relacionadas con números y reportes. Los términos clave incluyen ""número"", ""predio marcado"", ""reporte"", ""solicitud"", ""domicilio"" y ""respuesta"". Los solicitantes buscan obtener información sobre números de identificación, informes y solicitudes presentadas, posiblemente en el contexto de incidentes o quejas relacionadas con domicilios marcados. También se mencionan términos como ""robo"" y ""queja"", lo que sugiere un interés en asuntos de seguridad y cumplimiento.","número (0.0970), predio_marcado (0.0260), simple (0.0170), reporte (0.0160), solicitude (0.0160), domicilio (0.0150), marcado (0.0110), respuesta (0.0110), robo (0.0100), tiempo (0.0100), actual (0.0090), fecha (0.0090), cuente (0.0090), indicar (0.0090), contenido (0.0090), si (0.0090), medio (0.0070), incluyendo (0.0070), nuevamente (0.0070), disponible (0.0060), saludo (0.0050), report (0.0050), recaudado (0.0050), obligacione (0.0040), formato (0.0040), relacionado (0.0040), voluman (0.0040), ello (0.0040), queja (0.0040), marte (0.0030),"
7,Solicitud de Información sobre Asuntos Laborales,"Este tópico se refiere a solicitudes de información relacionadas con asuntos laborales. Los términos clave incluyen ""día"", ""señalar"", ""laborales"", ""falta"", ""mensual"", ""órdenes muchas"" y ""desglose"". Los solicitantes buscan obtener información sobre temas laborales, como ausencias, órdenes laborales y detalles mensuales. También se mencionan términos como ""trabajador"" y ""vacaciones"", lo que sugiere un interés en los derechos laborales y las políticas de recursos humanos.","día (0.0310), señalar (0.0280), laborale (0.0270), gracia (0.0250), perteneciente (0.0240), labor (0.0230), falta (0.0220), dentro (0.0210), mensual (0.0210), espera (0.0200), órdenes_mucha (0.0190), desglose (0.0180), masculino (0.0140), trámite (0.0130), tabla (0.0120), trabajador (0.0100), poder (0.0100), ampara (0.0090), vacacione (0.0080), trabajadore (0.0080), administrativo (0.0070), social (0.0070), hubiere_incurrido (0.0070), inherente (0.0070), presentaron_laborar (0.0070), nombre (0.0060), pertinente_tal (0.0060), usuario_particularmente (0.0060), última_especificación (0.0060), hardware_excell (0.0060),"
8,Solicitud de Información sobre Programas y Protección,"Este tópico se centra en solicitudes de información relacionadas con programas y temas de protección. Los términos clave incluyen ""total"", ""mujeres"", ""programa"", ""acciones"", ""municipal"", ""adolescentes"", ""protección"", ""albergue"" y ""riesgo"". Los solicitantes buscan información sobre programas municipales dirigidos a grupos específicos, como mujeres y adolescentes, con un enfoque en la protección y el apoyo. También se mencionan términos como ""robo"" y ""mercado"", lo que sugiere un interés en temas de seguridad y bienestar económico.","total (0.0580), mujere (0.0440), programa (0.0320), accione (0.0290), municipal (0.0240), lista (0.0210), adolescente (0.0170), unidade (0.0140), actividade (0.0140), protección (0.0130), cuále (0.0100), buenas_tarde (0.0090), encontrado (0.0070), institucional (0.0070), integral (0.0070), menore (0.0060), cuál (0.0060), especificar (0.0060), establecido (0.0060), albergue (0.0060), robo (0.0050), riesgo (0.0050), plan (0.0050), edade (0.0050), hombre (0.0050), mercado (0.0040), millone (0.0040), interno (0.0040), permitido (0.0040), comprometida (0.0040),"
9,Solicitud de Información sobre Medicamentos y Proveedores,"Este tópico gira en torno a solicitudes de información relacionadas con medicamentos y proveedores de servicios de salud. Los términos clave incluyen ""misma"", ""medicamentos"", ""clave"", ""respuesta"", ""hospital"", ""atención"", ""medicamentos materiales"" y ""bienestar"". Los solicitantes buscan información sobre medicamentos, precios, proveedores y procesos de atención médica. También se mencionan términos como ""atención"" y ""comprometida"", lo que sugiere un interés en la calidad y el acceso a la atención médica.","misma (0.0820), parte (0.0340), presente (0.0320), octubre (0.0250), respuesta (0.0230), medicamento (0.0220), clave (0.0200), realizó (0.0200), proporcionar (0.0130), general (0.0120), sitio (0.0100), hospital (0.0090), atencione (0.0080), atento (0.0080), proceso (0.0080), dicho (0.0070), nacional (0.0070), momento (0.0070), precio (0.0070), realizada (0.0070), ejemplo (0.0070), almacene (0.0070), proveedore (0.0070), amable (0.0060), buenos_día (0.0060), medicamentos_material (0.0060), acuerdo (0.0060), bienestar (0.0060), compendio_nacional (0.0060), carga (0.0060),"
10,Solicitud de Información sobre Organismos y Funciones Públicas,"Este tópico se enfoca en solicitudes de información relacionadas con organismos gubernamentales y sus funciones. Los términos clave incluyen ""público"", ""titular"", ""organismo"", ""expediente"", ""funciones"", ""dinero"" y ""legal"". Los solicitantes buscan información sobre la estructura y las funciones de organismos públicos, así como detalles financieros relacionados con sus actividades. También se mencionan términos como ""gobernador"" y ""daño"", lo que sugiere un interés en la gobernanza y la rendición de cuentas.","público (0.0380), titular (0.0350), completo (0.0350), organismo (0.0270), pueda (0.0190), caso (0.0180), cargo (0.0180), expediente (0.0150), puede (0.0150), pue (0.0130), funciones (0.0130), respuesta (0.0130), siguiente (0.0110), igual (0.0090), electoral (0.0080), deberá (0.0080), ver (0.0080), nube (0.0080), integrante (0.0070), dinero (0.0070), predio (0.0070), sujeto_obligado (0.0060), daño (0.0060), actual (0.0060), legal (0.0060), gobernador (0.0060), tener (0.0060), celebrado (0.0060), previo (0.0060), rmado (0.0060),"
11,Solicitud de Información sobre Yucatán y Reemplacamiento Vehicular,"Este tópico se refiere a solicitudes de información relacionadas con el estado de Yucatán y el reemplacamiento vehicular. Los términos clave incluyen ""Yucatán"", ""calle"", ""autorización"", ""años"", ""vehicular"", ""reemplacamiento"" y ""vigente"". Los solicitantes buscan información sobre la autorización y los procedimientos para el reemplacamiento de vehículos en Yucatán. También se mencionan términos como ""juzgado segundo"" y ""cuerpos"", lo que sugiere un interés en aspectos legales y judiciales relacionados con vehículos.","yucatán (0.0590), calle (0.0490), cuántos (0.0380), autorización (0.0230), años (0.0190), vehicular (0.0190), mediante (0.0170), contengan (0.0150), civil (0.0130), reemplacamiento (0.0120), parte (0.0120), tre (0.0110), vigente (0.0110), valladolid (0.0110), recaudado (0.0100), folio (0.0080), dirijo_uste (0.0070), juzgado_segundo (0.0070), igual (0.0070), motivo (0.0060), siguiente (0.0050), forense (0.0050), entregado (0.0050), primer (0.0040), izamal (0.0040), familiar (0.0040), realización (0.0040), judicial (0.0040), cuerpos (0.0040), juece (0.0040),"
12,Solicitud de Información sobre Datos Personales y Laborales,"Este tópico se centra en solicitudes de información relacionadas con datos personales y asuntos laborales. Los términos clave incluyen ""personal"", ""datos"", ""derechos"", ""bloqueo"", ""elaborar"", ""acceso"" y ""servicio"". Los solicitantes buscan información sobre el procesamiento de datos personales, derechos laborales y aspectos de recursos humanos. También se mencionan términos como ""vacaciones"" y ""ubicación"", lo que sugiere un interés en los derechos laborales y la privacidad de los datos.","personal (0.0600), datos (0.0500), derechos (0.0380), lista (0.0230), personale (0.0210), masculino (0.0200), siguiente (0.0200), bloqueo (0.0180), confiere_verifique (0.0180), agradecido (0.0180), hardware_excell (0.0180), elaborar (0.0180), tabla_infinitamente (0.0180), tuviere (0.0180), usuario_particularmente (0.0180), última_especificación (0.0180), pertinente_tal (0.0180), base (0.0160), vacacione (0.0130), turno (0.0130), acceso (0.0130), presentaron_laborar (0.0120), tabla (0.0100), ubicación (0.0100), laborale (0.0100), laboral (0.0070), especificándose (0.0070), servicio (0.0070), ampara (0.0070), central (0.0060),"